condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EO,O2,-2.2638241623896988e-08,4.0944311807775056e-11,-0.03030279513947155,0.7602325091509674,5.7113705042378666e-05,0.00046083089066785795,0.0014979839267005243,0.026465702250386133,2.4564235765276815e-06,,2.3390427610410288e-12,1.1301086590376388e-12,1.5528104698162271e-12,4.141916361242247e-12,3.1385275533509866e-13,8.856915548334968e-14
EO,Erbs,-4.372546053079494e-08,1.149644551436538e-09,-4.406497969556098,22.224726387877684,0.0003132689864094781,0.0021827189286035787,0.008012751029558556,0.3748233739925534,6.897064900402225e-05,,6.065437963772215e-11,9.541354833975358e-11,7.551204480846225e-11,5.328080651186275e-11,1.8142212191722674e-11,1.0640206524349603e-12
EO,OrbOcc,1.9364169320932683e-07,3.0648195490625666e-11,0.22681797701196252,2.249428006174427,6.786100040055946e-05,0.00041528881627512376,0.0012916658173079917,0.02561360697381121,1.8409476601622349e-06,,4.523956556831856e-12,1.0291009683161523e-12,1.5414029559866752e-12,1.3012362696301025e-12,2.1377549553812437e-13,1.2226276310608504e-13
EO,Mass,3.3177338578870385e-08,1.7718319687013953e-11,-0.3071926863079321,0.9336554566151829,4.099521896281885e-05,0.00036493347653333743,0.0009642765725091712,0.02320791932886697,1.0646318270443783e-06,,1.1935164075502254e-12,6.746009510923882e-13,8.530687200903271e-13,7.268237954594089e-13,2.6234177052059987e-13,1.5888410910334912e-13
EO,F3_F4_alpha_asymmetry,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14,-3.799345376162635e-14
EC,Fp1,-2.2391126827660376e-08,9.371294930569246e-10,0.34487476140141005,12.371296789942688,0.0006004525081776287,0.0020257840700928097,0.007220668633613067,0.1999508076792088,5.6259824387653626e-05,,1.5702344677544595e-10,2.0700840836206872e-11,2.4614172285859222e-11,1.7231864238625753e-11,4.071245287106448e-12,2.127556131516605e-12
EC,Fp2,-2.7068752579809983e-08,1.6162020854397142e-10,0.6926060385148809,3.158646275638813,0.00013999504129621907,0.0008128860176727059,0.003006475862545945,0.07671084870848875,9.70768012178983e-06,,2.121440644070142e-11,4.632160735905194e-12,8.870154239447787e-12,6.554227305203722e-12,6.349791430272736e-13,2.825166012751449e-13
EC,F7,1.4356800663938747e-08,9.976521822041453e-11,0.09599384258604568,0.778814161576725,0.0001015396738184458,0.0006799227689211302,0.002350558863325078,0.06070568788891451,5.994514407396214e-06,,9.287888571600213e-12,3.4641004540841485e-12,5.883063884125254e-12,4.399517994384942e-12,5.027676865295753e-13,2.5888723534663353e-13
EC,F3,-8.455688827619122e-09,7.789514274584486e-10,-0.7006420377520906,21.416388096498352,0.0006113632462233138,0.0018695752721936453,0.006576736463589957,0.17812007266394803,4.6766854642573026e-05,,1.2992403303654254e-10,1.6658506857472678e-11,2.1445091444581404e-11,1.5076679217405945e-11,3.273117692554052e-12,1.8674383183659984e-12
EC,Fz,-2.5532330049920227e-08,1.1868304501202508e-10,0.07905937822163912,0.5918337528281912,0.00010199443110431265,0.0007737267200331624,0.002554241381090396,0.04389113739417786,7.134026055399662e-06,,9.984285564682989e-12,6.292211767226982e-12,1.133090097583807e-11,7.913809588195992e-12,6.810931219824777e-13,2.3343999226142307e-13
EC,F4,-2.1631159831914512e-08,3.2081070781568133e-10,-2.8457130879368897,60.293720899948134,0.000507686924889514,0.0013105512005889709,0.004187593373482681,0.09723837287670112,1.926650347085595e-05,,5.182542665757292e-11,8.268803929228712e-12,1.3193858399048283e-11,9.282847655297111e-12,1.548293490661612e-12,1.0153153657299764e-12
