condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EO,Pz,1.0265034366688822e-08,7.529793560850404e-11,-0.10604281851206612,0.5598730340965057,7.960258776740223e-05,0.0006082419992841198,0.0020419438451715634,0.03975144267487262,4.539739396934159e-06,,8.017505120622554e-12,3.529403909510903e-12,4.91902747049875e-12,3.653484983243214e-12,6.680387551788185e-13,7.809940852333057e-14
EO,P4,1.8185830591711921e-10,7.171465732797774e-11,-0.15851432654629716,0.5192522070116432,8.197506822786188e-05,0.0005879543231681466,0.0019944350734464934,0.03625721812781089,4.323837595761969e-06,,7.469213364285486e-12,3.3487327995487883e-12,4.847465951289595e-12,3.321626912694e-12,5.687067663022885e-13,6.882329358461287e-14
EO,P8,1.303726774877215e-09,4.314282134712803e-11,-0.08428623343527121,0.6472941276110711,7.04410974203796e-05,0.000491704402834358,0.0015359616379511693,0.0238441984980688,2.6015806790179466e-06,,3.806273980651527e-12,2.0660569004873673e-12,3.038170460295486e-12,2.2767458825489896e-12,3.994022751793265e-13,8.331562259645732e-14
EO,O1,1.6564819185870691e-09,6.364696537239388e-11,-0.25703344995412103,0.8951486410905898,7.879440179922953e-05,0.0005777278158660881,0.0018717145449035648,0.02757323807107858,3.838277763947052e-06,,6.362504521384677e-12,2.805101216932163e-12,3.876847496294408e-12,3.561800248078571e-12,5.667663072483952e-13,8.52524703917402e-14
EO,Oz,-1.1915073807355219e-08,6.821528698288025e-11,-0.10796612991918147,0.4087235153574693,7.776477931991884e-05,0.0005848976414282651,0.0019417513523293044,0.039637785205654634,4.112864012997687e-06,,7.141586000115535e-12,2.5469977105728665e-12,3.3150331231749258e-12,3.887186048988863e-12,5.285575003020971e-13,8.422963478870754e-14
EO,O2,-7.505404407654688e-09,5.6077890462468336e-11,-0.0322438246931314,0.39838739763150643,7.374772562545321e-05,0.000539082895612803,0.0017578853233363339,0.037594692938887474,3.380887749552409e-06,,5.802803359168436e-12,2.10461037594565e-12,2.70299314332356e-12,3.0643644845374085e-12,4.4893094592468573e-13,8.490897060270696e-14
EO,Erbs,-3.7624865355823574e-08,5.619132184245592e-10,-2.4852879338222547,8.33227960254355,0.00024831310207778937,0.0017036931374514932,0.005565391022801328,0.11852641189854259,3.387651296194821e-05,,2.7657624322257708e-11,5.539830458642446e-11,3.8183554164005805e-11,2.1417836436806387e-11,8.8453336298345e-12,5.36812970805543e-13
EO,OrbOcc,-3.508953429675997e-08,7.727842279753809e-11,-0.035415332253041346,2.1706622615392286,9.731041749675852e-05,0.0006181810857308221,0.0020680451277331727,0.045534640543040704,4.6729948818612855e-06,,1.2295141433776297e-11,2.245236877310757e-12,2.385496427231873e-12,1.5529082503107526e-12,5.906562660817404e-13,1.8421147485209628e-13
EO,Mass,-2.9905682243833576e-08,4.349436948822328e-11,-0.11379607810732252,1.8663515613370052,7.55302092155998e-05,0.00047282547679637063,0.0015487527367197874,0.04008788486569431,2.623458138143984e-06,,8.079094803777046e-12,1.248857880724058e-12,9.73236915535197e-13,7.662075314219138e-13,3.654807071118669e-13,1.3498244649741822e-13
EO,F3_F4_alpha_asymmetry,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13
EC,Fp1,4.4734526482818684e-08,7.524417741007482e-11,-0.050257869280083446,0.16539595108106564,7.182512003448003e-05,0.000767042232899027,0.0019869606391370916,0.03362739465457113,4.548863320907802e-06,,5.896038792019053e-12,1.2411509144415378e-12,1.3278864827540168e-12,1.0113801174828677e-12,1.4140607636181008e-12,9.23406982542485e-13
EC,Fp2,1.876971325981562e-08,3.5284717054787e-11,0.007658710604065737,0.6899482929059455,6.185516971727724e-05,0.0004665751616749094,0.001381860555493513,0.02526656486681188,2.1395269564004547e-06,,4.208785463182743e-12,1.1433009971008248e-12,1.3200442027246565e-12,1.002720334359967e-12,4.131474364818671e-13,1.3110388492789424e-13
